state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,10-04-2018,36111,36111,36111
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,30-06-2018,32870,36801,32870
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,21-07-2018,31019,37121,31019
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,04-08-2018,35511,35511,35511
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,18-08-2018,37111,38011,38011
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,24-08-2018,35411,35411,35411
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,31-08-2018,36011,36011,36011
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,15-09-2018,22699,24899,23811
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,22-09-2018,33089,33199,33089
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),api,12-10-2018,34409,34409,34409
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,09-02-2018,13129,13129,13129
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,16-02-2018,12009,12009,12009
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,06-03-2018,11786,14099,11786
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,10-03-2018,13569,13569,13569
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,14-03-2018,14069,16389,14069
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,17-03-2018,13869,14069,13869
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,21-03-2018,13629,13629,13629
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,10-04-2018,13699,14069,13699
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,13-04-2018,12349,12669,12349
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,27-04-2018,13899,14509,14509
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,04-05-2018,14119,14669,14119
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,08-05-2018,13469,14569,14569
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,15-05-2018,13899,13899,13899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,26-05-2018,14769,16809,14769
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,09-06-2018,14299,14319,14299
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,18-06-2018,14599,14678,14599
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,23-06-2018,13379,16509,14469
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,30-06-2018,13869,14569,14369
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,06-07-2018,12099,13219,13119
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,14-07-2018,14669,14699,14669
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,21-07-2018,14909,14909,14909
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,04-08-2018,14319,14499,14319
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,24-08-2018,16099,16509,16099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,31-08-2018,15619,15619,15619
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,07-09-2018,18299,18299,18299
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,22-09-2018,16709,18009,16709
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Bilegotu,05-10-2018,18099,18099,18099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,05-01-2018,17069,17069,17069
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,31-01-2018,20889,21009,20889
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,02-02-2018,20509,21189,20509
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,09-02-2018,21159,21909,21199
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,16-02-2018,20709,21269,20899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,21-02-2018,20609,20609,20609
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,24-02-2018,19269,20869,19269
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,28-02-2018,20229,20389,20229
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,03-03-2018,19199,20809,20609
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,06-03-2018,19009,20699,20416
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,10-03-2018,20449,20889,20689
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,14-03-2018,20505,20809,20779
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,17-03-2018,20189,20599,20409
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,21-03-2018,19509,21199,20389
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,06-04-2018,19209,19219,19209
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,10-04-2018,18669,20301,19999
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,13-04-2018,20509,20569,20509
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,27-04-2018,20289,21311,20789
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,04-05-2018,17169,20759,20509
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,08-05-2018,20369,20669,20469
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,15-05-2018,20259,20729,20599
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,19-05-2018,20699,21069,20769
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,26-05-2018,18939,20851,20309
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,02-06-2018,19169,20869,20800
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,09-06-2018,19769,20919,20669
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,18-06-2018,18569,20899,20669
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,23-06-2018,19169,20719,20399
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,30-06-2018,18699,20519,19569
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,06-07-2018,17699,20069,19299
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,14-07-2018,19869,20029,19905
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,21-07-2018,19159,19929,19869
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,04-08-2018,20899,21315,21209
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,10-08-2018,21069,21209,21189
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,18-08-2018,21299,21959,21889
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,24-08-2018,21299,22769,22499
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,31-08-2018,22589,22999,22869
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,07-09-2018,23169,24499,24399
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,22-09-2018,25089,25089,25089
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,05-10-2018,22769,24869,24589
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Chali,12-10-2018,23669,24369,24269
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,05-01-2018,20111,24619,23699
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,12-01-2018,20019,25509,23299
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,19-01-2018,15219,23121,21269
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,23-01-2018,21539,24299,22899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,31-01-2018,20151,23529,22711
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,02-02-2018,19179,23099,22489
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,09-02-2018,19709,26889,24589
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,16-02-2018,17699,24299,22311
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,21-02-2018,16786,22919,21889
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,24-02-2018,19009,24609,22439
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,28-02-2018,16719,24511,22311
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,03-03-2018,17699,23899,22499
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,06-03-2018,18299,22899,21911
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,10-03-2018,17069,22679,21819
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,14-03-2018,16786,22899,21401
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,17-03-2018,16786,23269,22009
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,21-03-2018,15219,21211,21199
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,06-04-2018,14299,17209,15899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,10-04-2018,15899,21001,19559
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,13-04-2018,15389,21199,19509
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,27-04-2018,19499,21701,20589
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,04-05-2018,19569,22029,21099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,08-05-2018,19526,22001,20509
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,15-05-2018,16099,22001,21811
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,19-05-2018,16219,22101,21301
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,26-05-2018,15529,22419,21501
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,02-06-2018,18539,22238,21269
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,09-06-2018,15299,22011,20669
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,18-06-2018,15619,22299,21669
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,23-06-2018,17669,22501,21909
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,30-06-2018,18519,22001,20899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,06-07-2018,15599,22011,21501
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,14-07-2018,17039,21411,20701
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,21-07-2018,18699,21899,20899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,04-08-2018,15219,22499,21099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,10-08-2018,17089,22369,21669
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,18-08-2018,20555,23699,21909
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,24-08-2018,21889,24669,23179
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,31-08-2018,18099,24901,23701
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,07-09-2018,22729,24579,23089
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,22-09-2018,21509,24561,23769
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,28-09-2018,23389,24911,24099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,05-10-2018,23089,25500,24939
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Kempugotu,12-10-2018,22089,25700,24369
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,05-01-2018,37510,38369,38089
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,12-01-2018,33199,37721,37419
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,19-01-2018,32570,37609,37422
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,23-01-2018,33059,37470,37129
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,31-01-2018,35019,36791,36210
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,02-02-2018,31699,36389,35819
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,09-02-2018,28589,37229,36899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,16-02-2018,29969,37111,36719
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,21-02-2018,32809,36211,35889
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,24-02-2018,33029,36009,35789
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,28-02-2018,26899,35711,34869
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,03-03-2018,29299,35659,34809
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,06-03-2018,25201,35509,35009
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,10-03-2018,26899,35629,35179
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,14-03-2018,30899,35729,35329
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,17-03-2018,33009,35899,35099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,21-03-2018,28009,35699,35011
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,06-04-2018,31410,34099,33838
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,10-04-2018,29009,34501,34169
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,13-04-2018,32009,35209,34399
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,27-04-2018,28299,37189,36799
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,04-05-2018,23039,36370,35969
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,08-05-2018,28869,36309,35829
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,15-05-2018,32299,36709,36589
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,19-05-2018,33009,37429,36659
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,26-05-2018,32899,37351,36311
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,02-06-2018,33299,37111,35899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,09-06-2018,32010,36111,34889
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,18-06-2018,30010,35099,34839
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,23-06-2018,28899,34611,34139
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,30-06-2018,28710,32626,32019
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,06-07-2018,30509,32349,31801
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,14-07-2018,28699,31059,29899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,21-07-2018,28869,31009,30009
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,04-08-2018,29270,32389,31839
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,10-08-2018,28099,32869,32409
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,18-08-2018,30009,33209,33109
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,24-08-2018,30019,34151,33399
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,31-08-2018,27509,33011,32209
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,07-09-2018,30869,32719,32229
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,15-09-2018,31869,33319,32849
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,22-09-2018,30709,33529,32891
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,28-09-2018,30310,34529,34099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,05-10-2018,33309,34819,34611
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Rashi,12-10-2018,31609,34499,33939
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,19-01-2018,11319,11319,11319
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,09-02-2018,9599,9599,9599
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,16-02-2018,8786,8786,8786
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,21-02-2018,9829,10119,9829
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,24-02-2018,9699,9989,9699
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,28-02-2018,9269,9699,9419
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,03-03-2018,9199,9899,9499
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,06-03-2018,8789,10119,9699
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,10-03-2018,10099,10099,10099
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,14-03-2018,10169,10199,10169
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,17-03-2018,9799,9799,9799
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,21-03-2018,9819,10129,9819
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,10-04-2018,7459,9519,7459
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,13-04-2018,8699,9769,9469
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,27-04-2018,9319,9639,9639
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,15-05-2018,9919,9919,9919
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,19-05-2018,10109,10799,10619
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,02-06-2018,9769,10499,10199
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,09-06-2018,10109,10569,10469
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,18-06-2018,8399,10699,9399
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,23-06-2018,10129,10499,10289
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,30-06-2018,7569,7569,7569
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,06-07-2018,8569,10199,9699
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,21-07-2018,9919,10299,9919
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,04-08-2018,10599,10599,10599
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,24-08-2018,11899,12309,11899
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,31-08-2018,10786,10786,10786
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,07-09-2018,12919,12919,12919
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,05-10-2018,12299,12499,12499
Karnataka,Shimoga,Hosanagar,Arecanut(Betelnut/Supari),Sippegotu,12-10-2018,12519,12519,12519
